anime,votes,votes_weight,genres,rate_1_stars,rate_1_stars,rate_2_stars,rate_3_stars,rate_4_stars,rate_5_stars,rate
Recovery of a MMO Junkie,308,1453,"seinen,drama,romance,slice of life",2,2,3,9,52,242,4.72
Inuyasha the Movie 4: Fire On the Mystic Island,0,0,"action,adventure,romance,fantasy",0,0,0,0,0,0,0.0
GRANBELM,34,134,mecha,4,4,2,3,8,17,3.94
Sea Prince and the Fire Child,4,18,"fantasy,romance,supernatural,drama",0,0,0,0,2,2,4.5
Asteroid in Love,12,54,"slice of life,comedy,romance",1,1,0,0,2,9,4.5
Sengoku Collection (Parallel World Samurai),122,514,"comedy,fantasy,historical",2,2,6,20,30,64,4.21
Late night! The Genius Bakabon,7,27,"comedy,slice of life",1,1,0,1,2,3,3.86
Love Lab,55,252,"comedy,romance",2,2,1,0,12,40,4.58
Tsugumomo,49,201,"comedy,romance,supernatural,harem,seinen",3,3,5,4,9,28,4.1
You and Me,420,1950,slice of life,12,12,3,20,53,332,4.64
MOBILE SUIT GUNDAM THE ORIGIN Advent of the Red Comet,16,75,"mecha,action,sci-fi",0,0,0,1,3,12,4.69
Ms. Vampire who lives in my neighborhood.,48,212,"slice of life,comedy,supernatural",0,0,1,5,15,27,4.42
Girly Air Force,43,170,"action,sci-fi",3,3,4,6,9,21,3.95
Anonymous Noise,7,33,"drama,romance,music",0,0,0,0,2,5,4.71
Interlude,87,362,mystery,3,3,5,11,24,44,4.16
Idol Incidents,7,24,"music,idols",0,0,2,1,3,1,3.43
Future Card Buddyfight,20,84,"action,sci-fi,shonen",2,2,0,2,4,12,4.2
Holmes of Kyoto,47,194,"romance,slice of life,drama,mystery",1,1,5,5,12,24,4.13
Saga of Tanya the Evil,403,1826,"action,adventure,historical,fantasy",16,16,13,14,58,302,4.53
Mushishi,166,810,"fantasy,adventure,slice of life,seinen,supernatural",1,1,1,0,13,151,4.88
Kemono Friends,69,300,"adventure,comedy,fantasy,post-apocalyptic",4,4,4,4,9,48,4.35
My Sweet Tyrant,39,160,"romance,comedy",3,3,2,4,9,21,4.1
The Ancient Magus' Bride,680,3254,"fantasy,romance,adventure,supernatural,drama,slice of life",5,5,13,20,47,595,4.79
He Was Anime (NFL's Mike Daniels),3,15,sports,0,0,0,0,0,3,5.0
Fight League: Gear Gadget Generators,18,56,"action,sci-fi,mecha",3,3,3,4,5,3,3.11
Anisong Station,6,27,"music,idols",0,0,1,0,0,5,4.5
